거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.3.14,KODEX KOFR금리액티브(합성),10,0,"1,061,000",44,0,"430,784",,
Smart+거래소주식매도,,"106,100",0,"430,784",0,0,0,스마트폰,
2024.3.18,TIGER 미국달러SOFR금리액티브(합성),44,0,"2,264,620",95,70,"2,695,309",,
Smart+거래소주식매도,,"51,468",0,"2,264,525",0,0,0,스마트폰,
2024.3.19,KBSTAR 미국채30년엔화노출(합성 H),24,0,"218,130",9,254,"2,477,170",,
Smart+거래소주식매수,,"9,088",0,"218,139",0,0,0,스마트폰,
2024.3.19,TIGER 미국달러SOFR금리액티브(합성),16,0,"830,520",34,54,"3,307,656",,
Smart+거래소주식매도,,"51,907",0,"830,486",0,0,0,스마트폰,
2024.3.20,KBSTAR 미국채30년엔화노출(합성 H),18,0,"163,035",6,272,"3,144,615",,
Smart+거래소주식매수,,"9,057",0,"163,041",0,0,0,스마트폰,
2024.3.21,KBSTAR 미국채30년엔화노출(합성 H),15,0,"135,900",5,287,"3,008,710",,
Smart+거래소주식매수,,"9,060",0,"135,905",0,0,0,스마트폰,
2024.3.22,KBSTAR 미국채30년엔화노출(합성 H),50,0,"448,900",18,337,"2,559,792",,
Smart+거래소주식매수,,"8,978",0,"448,918",0,0,0,스마트폰,
2024.3.25,ACE 미국배당다우존스,2,0,"22,910",0,2,"2,536,882",,
Smart+거래소주식매수,,"11,455",0,"22,910",0,0,0,스마트폰,
2024.3.25,KBSTAR 미국채30년엔화노출(합성 H),310,0,"2,764,775",116,647,"-228,009",,
Smart+거래소주식매수,,"8,918",0,"2,536,882",0,0,0,스마트폰,
2024.3.25,TIGER 미국달러SOFR금리액티브(합성),5,0,"259,900",10,49,"31,881",,
Smart+거래소주식매도,,"51,980",0,"31,881",0,0,0,스마트폰,
2024.3.26,KODEX 200TR,2,0,"25,870",1,12,"6,010",,
Smart+거래소주식매수,,"12,935",0,"25,871",0,0,0,스마트폰,
2024.3.26,ACE 미국S&P500,2,0,"35,470",1,12,"-29,461",,
Smart+거래소주식매수,,"17,735",0,"6,010",0,0,0,스마트폰,
2024.3.26,KODEX 미국반도체MV,2,0,"41,710",1,3,"-71,172",,
Smart+거래소주식매수,,"20,855",0,0,0,0,0,스마트폰,
2024.3.26,TIGER Fn반도체TOP10,4,0,"48,410",2,14,"-119,584",,
Smart+거래소주식매수,,"12,102",0,0,0,0,0,스마트폰,
2024.3.26,ACE 미국배당다우존스,2,0,"23,250",0,4,"-142,834",,
Smart+거래소주식매수,,"11,625",0,0,0,0,0,스마트폰,
2024.3.26,ACE KRX금현물,2,0,"26,880",1,22,"-169,715",,
Smart+거래소주식매수,,"13,440",0,0,0,0,0,스마트폰,
2024.3.26,KODEX KOFR금리액티브(합성),7,0,"743,540",31,7,"-913,286",,
Smart+거래소주식매수,,"106,220",0,0,0,0,0,스마트폰,
2024.3.26,KBSTAR 미국반도체NYSE(H),2,0,"29,310",1,3,"-942,597",,
Smart+거래소주식매수,,"14,655",0,0,0,0,0,스마트폰,
2024.3.26,TIGER 미국달러SOFR금리액티브(합성),20,0,"1,046,300",44,29,"103,659",,
Smart+거래소주식매도,,"52,315",0,"103,659",0,0,0,스마트폰,
